trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4496,False,"{'a': 0.0015, 'e': 0.0011796942314185124}",20,10,16.614500499176007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4497,False,"{'a': 0.0015, 'e': 0.0011779260165640658}",30,15,28.361365120569925,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4498,False,"{'a': 0.0015, 'e': 0.0011761604520436533}",20,12,14.25474842028733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4499,False,"{'a': 0.0015, 'e': 0.001174397533884754}",25,13,14.10391195089726,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4500,False,"{'a': 0.0015, 'e': 0.0011726372581208015}",25,8,30.606313741058848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4501,False,"{'a': 0.0015, 'e': 0.0011708796207911744}",20,9,21.969160250125345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4502,False,"{'a': 0.0015, 'e': 0.0011691246179411881}",25,11,25.023665462370865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4503,False,"{'a': 0.0015, 'e': 0.0011673722456220855}",20,13,13.367874136198104,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4504,False,"{'a': 0.0015, 'e': 0.0011656224998910277}",20,15,10.05972870280657,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4505,False,"{'a': 0.0015, 'e': 0.0011638753768110867}",20,7,24.847144290551032,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4506,False,"{'a': 0.0015, 'e': 0.0011621308724512345}",20,7,22.746291053485937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4507,False,"{'a': 0.0015, 'e': 0.0011603889828863355}",25,13,23.081611260944793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4508,False,"{'a': 0.0015, 'e': 0.0011586497041971375}",20,2,26.43436855993857,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4509,False,"{'a': 0.0015, 'e': 0.0011569130324702629}",20,8,20.406270830839183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4510,False,"{'a': 0.0015, 'e': 0.0011551789637981992}",20,12,13.582817095754374,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4511,False,"{'a': 0.0015, 'e': 0.0011534474942792917}",25,5,33.85687203996684,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4512,False,"{'a': 0.0015, 'e': 0.0011517186200177337}",20,8,22.69125835399194,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4513,False,"{'a': 0.0015, 'e': 0.0011499923371235557}",25,0,32.600350645205026,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4514,False,"{'a': 0.0015, 'e': 0.0011482686417126214}",20,6,23.25335183680944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4515,False,"{'a': 0.0015, 'e': 0.0011465475299066155}",30,17,20.327972170319637,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4516,False,"{'a': 0.0015, 'e': 0.0011448289978330352}",30,24,11.31238498600548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4517,False,"{'a': 0.0015, 'e': 0.0011431130416251834}",20,14,11.212496379364552,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4518,False,"{'a': 0.0015, 'e': 0.0011413996574221573}",20,2,28.437041941395492,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4519,False,"{'a': 0.0015, 'e': 0.001139688841368842}",20,0,30.459762155770918,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4520,False,"{'a': 0.0015, 'e': 0.0011379805896159006}",20,4,28.255913263379377,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4521,False,"{'a': 0.0015, 'e': 0.0011362748983197658}",20,11,18.540004867817224,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4522,False,"{'a': 0.0015, 'e': 0.0011345717636426318}",20,7,19.577168689219036,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4523,False,"{'a': 0.0015, 'e': 0.0011328711817524444}",20,8,22.07460356325312,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4524,False,"{'a': 0.0015, 'e': 0.0011311731488228942}",35,23,20.42435960057019,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
